YEAR,MONTH,DATE,FISHING_SEASON,SITE,SEGMENT_START,SEGMENT_END,TRAPS,OBSERVER,NOTES
2012,10,2012-10-05,2012-2013,ABUR,119 44.950,119 44.900,16,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.900,119 44.850,13,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.850,119 44.800,21,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.800,119 44.750,10,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.750,119 44.700,10,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.700,119 44.650,6,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.650,119 44.600,2,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.600,119 44.550,0,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.550,119 44.500,5,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.500,119 44.450,7,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.450,119 44.400,11,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.400,119 44.350,17,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.350,119 44.300,10,Matt Kay,FIXED Start/Stop
2012,10,2012-10-05,2012-2013,ABUR,119 44.300,119 44.250,15,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.950,119 44.900,13,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.900,119 44.850,14,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.850,119 44.800,12,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.800,119 44.750,8,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.750,119 44.700,8,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.700,119 44.650,12,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.650,119 44.600,6,Matt Kay,FIXED Start/Stop
2012,10,2012-10-20,2012-2013,ABUR,119 44.600,119 44.550,10,Matt Kay,FIXED Start/Stop
